corrected_vv,num_linkings,av_len_sent,ls,num_gerunds,der_level3,nv,der_level4,num_inf,ndw,der_level6,num_func_ngrams,num_cl,num_acl,av_tok_before_root,num_sent,num_past_simple,freq_aux,corrected_vs,der_level5,density,num_coord,num_poss,text,class
3.07,10,17.31,0.16,4,0.04,0.12,0.11,15,119,0.03,3,30,1,5.62,16,7,0.96,0.67,0.11,0.44,7,18,"According to researchers using of illegal drugs is widespread now. There are two different points of view: sportsmen should not be allowed to do any sport about 2 years or athletes must not participate in various competitions for the whole their lives. Both points of view are aceptable and now we are going to discuss them.
First of all, there are too many sport scandals and the major part of them are conected with illegal drugs. International organisations try to overcome them and the basic method is banneding atheletes for 2 years. It is believed that after this period they will be free and clear and will not any aftermaths. Eventually sportsmen can continue their careers. 
On the other hand, influention of drugs are spoiled health and competitions for sportsmen after drugs-scandle are unavalable. It should be said that if they use drugs once, they will do it again. According to statistics, people could not to stop and apply with drugs for the rest of ther lives.
For my opinion, illegal drugs-scandles should be solved by government and bounded any drugs in sports and competitions at all. Also it is not esential to discualificate athelets for the rest of teir lives, because they participates in competitions and do sports from the shildhood. Sport is the sense of their lives.
In to conclude, there is only one view and it is important, that government should prevent sportsmen from drugs. Moreover, sports organisation should not abouned atheletes for whole life.
",6
2.71,12,25.62,0.08,0,0.22,0.13,0.02,7,95,0.2,1,23,1,6.25,8,4,0.5,0.3,0.02,0.43,7,9,"Modern world has really big problem, on the one hand, with health of humanices, but at the same time, has active develop of technology which try to reduce our problems quicly.

Clearly, that nowadays human can’t imagine our life without modern technology. So, some people have big problem with health, because they don’t know how to right connected with technology. In my opinion, people should control amount of time which they spend with technology, because, for example, more my friends have problems with eyes. And all of them has glasses, because can’t live with modern technology, with phones, computers etc. I think, that if they had spent their time on the nature or with really books, not computer, they would have had better health.

First of all, people should create plan or limists for technology and after that they can use tat or technology will dangerous for them, on the one hand. So, I think that technology is a good way to do something important for our work, for our develop and knowledge about the world.
",5
4.29,19,21.94,0.12,7,0.01,0.18,0.02,24,180,0.05,0,30,8,5.75,16,10,0.54,1.02,0.05,0.51,15,15,"The growing rates of crimes commited by young people have been a topic for heated debates for the last couple decades. Nowadays the problem is even more relevant than ever before, because governments are failing to tackle the problem via strong punishments and extra restrictions. That’s why the society should develop new approaches to the problem solution, based on positive influence of parents and teachers.
Let’s try to list the main reasons for crimes commited by children and teenagers and think how those crimes should be prevented. Some children might be engaged in stealing or robbery because they don’t have enough money to fulfill their needs and desires. Parents should definetely try to give their children an opportunity to earn their pocket money. Doing household chores or walking with a dog will not only bring a child a couple dollars but also teach him or her that money should be earned by labor.
Others might feel lack of understanding and love from their parents or classmates. Parents and teachers should talk to children, help them to build communication with other people. A person who is able to make true friends and who knows that he or she is surrounded by love and care is less likely to commit a crime.
The last reason which we will mention is permanent stress children and teens face in their everyday lives. Fear of flunking an exam, quarelling with parents might cause negative psychological effects and aggression finding its way out through violence and even crimes. Teachers should be very attentive to such students and provide them with a help of professional psychologist, if necessary. In other words, the best solution to problem doesn’t lie in the field of tough punishments and the strictest laws. We should try to smooth the process of socialization and growing instead. Being able to earn some money, make friends and having support in tough times will significantly decrease the incentives to break the law.
",7
2.83,16,25.31,0.06,4,0.02,0.12,0.13,21,138,0.08,3,33,4,4.69,13,1,0.67,0.24,0.15,0.47,9,9,"It is a common opinion that sport is one of the ways to improve health. However, not all people support this idea, because they think that there are other more effective measures to maintain the health of the people.


In my opinion, sport facilities can have a certain effect on health level of the society. It is true that sport prevents people from negative effects, such as obesity, but it can not cope with cancer or AIDS. And there is no scientific proof that sport helps to prevent regular diseases. Generally, the sport and sport facilities are necessary for the public, but sport should not be regarded as a multi-objective healthcare subject. Yes, it will prevent a person from having a heart strike, but, as it is before mentioned, the range of the correlation between sport and general preservation of diseases is to small.


What is more important, to my mind, is how to prevent the children the children mortality and children diseases. Many diseases which a child can catch when he is young, can affect his health for the whole life, because the disease can learn how to cope with the immune system, so children are more defenceless to this issue.


There are few more ways to maintain the level of the public health. It is important to have a proper nutrition, e.g eating only natural food, and restrain from taking alcohol, tobacco, fast food, salt and other potentially dangerous products. Also, vitamins are worthy taking them because they help to balance all processes in the human body.


In conclusion, it is important to say, that not only sport is important, but the general health culture is what may help the society to stay fit and not to get sick.
",7
2.08,12,21.7,0.09,2,0.05,0.1,0.05,5,87,0.05,1,14,1,5.3,10,4,0.79,0.0,0.02,0.34,6,18,"The graph provides data about the percentage of group of people 65 years old and over. It demonstrates a change of this proportion from 1940 to 2040 in Japan, Sweden and USA.
It's clear from the graph that in every compacative country the quantity of people 65 years old and over would increase from 5%-10% in 1940 to 25% approximately in 2040. However, the ways of growing are different. The percentage of population aged 65 and over in USA is guaducelly increasing during this 100 years like in Sweden. By contrast , Japan's group of people 65 years old and over had been decreasing from 1940 to 1983 approximately, then it began to rise slightly and in 2030 there would be drammatic increase from 10% to 25%. In USA and Sweden there were periods of decline too - from 1980 to 1990 and from 1980 to 2014 respectively. Moreover, next period of decrease of population aged 65 and over is expected in USA in 2015.
As a result of change Japan will be the oldest country in 2040, then Sweden and USA respectively. It means that Japan will be in risk of demography problems.
",7
2.87,16,18.68,0.22,2,0.06,0.13,0.06,15,138,0.02,4,35,4,6.37,19,6,0.57,0.6,0.1,0.48,10,20,"Nowadays we live in an age of high technologies. we use a lot of them, especially the internet. It is a huge problem, when people copy films or music and share it in the internet. Such situation is very costly for the film studios and musicians. Some people consider that people, who download films and music for free from the internet, instead of buying original discs in a shop, should be punished. There are some arguments against this point of view.
Firstly, the illegal pirate copies of films and music appear in the internet after the premier of the film in cinemas. In some situations, the pirate copies appeared in the internet 2 weeks after the film started in cinemas. In 2 weeks the producers of this film usually can gain a lot of money from cinemas and usually the amount of money is more that a budget of the film. Moreover, the quality f pirate copies is often bad, with awful sound and dark picture. That’s why a lot of people prefer to buy licensed discs. In this logic, police shouldn’t arrest people, who share files.
Then, it can be easily seen, that the governments of the different countries all over the world try to ban web-sites in the internet, where people can download pirate copies of films. But this policy of blocking web-sites doesn’t work, because there are a lot of hackers, who can hack the system and continue to share illegal files. If police catch one hacker, there will be another one. This is a “circle”, and there is no way to break it.
In conclusion there should be said, that people will always share illegal films and music. In this way, the musicians and film producers should make qualitative content. If they make good films, people will visit cinemas instead of downloading films from the internet.
",6
1.77,6,14.15,0.28,0,0.05,0.14,0.1,1,71,0.03,0,20,1,7.0,13,15,0.5,0.18,0.03,0.47,5,21,"The graph illustrates information about the several levels of education of in a post-school in Australia and the persantage of men and women, who finish school in 1999. 
The main number of women had undergraduate diploma. It made up approximately 70%. However the less amount of women prefer to had skilled vocational diploma. The majority number of people, who held skilked vocational diploma was group of males. Nevertheless, the number who had undergraduate diploma was group of females. It consisted about 70%. However people, who held postgraduate diploma were man and proportion of men made up 70% too. So the number of men and the number of women, who held bachelor's degree was equal. The smallest areas of people, who hekd master's degree were females. Persantage amount to 40%.
To balance women prefer to held undergraduate diploma, bachelor's degree. In contrast to men would had skilled vocational diploma, postgraduate diploma and master's degree. 
",4
0.58,0,17.17,0.15,0,0.14,0.1,0.14,4,47,0.0,3,9,0,2.5,6,1,1.17,0.29,0.36,0.26,3,12,"On the graphs we can see the climate in very diffirent cities: Yakutsk, Russia and Rio de Janeiro, Brazil. First of all, we see the difference between maximum and minimum temperature in Yakutsk and Rio de Janeiro. In the Yakutsk we see the ~65 degree diffirence in Rio. Also we can see that minimal temperature in Yakutsk is from December to February, but in the Rio de Janeiro minimal temperature is from Juny to September. Also we can see that in Yakutsk in the summer could be more cold whe in winter in Rio
",4
2.49,10,19.27,0.2,5,0.04,0.14,0.05,15,120,0.05,0,28,4,5.93,15,5,0.83,0.26,0.02,0.46,15,14,"Copying, sharing and downloading pirate copies of films or music is a controversial issue nowadays, It is theft and people who do that should be punished because of musicians and film producers who lose great amounts of money every year. I am completely agree that people who download such files should be punished, but there are some advantages and disadvantages of this situation which I will discuss in this essay. 

For the one hand, pirate copies allow poor people who have no opportunity to buy original discs to download and to enjoy music or films. For some people it is the only chance to know cinema trends and popular musicians. They have no way in that situation and no possible solutions. 

For the other hand, it is a complete break of author’s rules. In this case such theft should be punished by tax. Futhermore, there is another problem of pirate copies. People who download copies are risking to catch a virus on their computer or tablet. It is definitely a big problem and a cause why pirate copies should be prohibited. One more disadvantage of sharing pirate copy is losing money by producers and creators of music or films. 

There are advantages and disadvantages of using pirate copies. Moreover, it is a theft, but it seems to me that it should be punished by tax instead of strong punishment. Also musicians and film producers can create mote copies of their discs, for example, and try to solve it with the lowest price. It can be one of the possible solution in that situation.
",6
2.21,5,24.5,0.08,0,0.1,0.08,0.03,4,87,0.03,0,16,4,5.88,8,1,0.45,0.32,0.0,0.42,3,10,"﻿The bar chart represents the percentage of adult people in USA using such popular social networks nowadays as Facebook, Instagram and LinkedIn.
As it seen from the bar chart, all four groups of adults mostly prefer to interact with people via Facebook. Moreover, almost 90% of people between 18 and 29 use Facebook, which is the biggest amount of people involved among all of three networks.
It is shown that only 6% of the oldest group of adults use Instagram, which is the lowest figure in the whole chart. In addition, Instagram is less popular than LinkedIn amoung people aged from 30 to 64.
The bar chart allows us to undersdtand that social networks that encompass something more than only photos and videos, which are Facebook and LinkedIn, are more popular among people older than 30 years old. Only 22% of the youngest group use LinkedIn to communicate. Overall, Facebook can be called as the most popular social network that is used by the majority of people.",7
