sentence,lemma,token,target,left,right
I cannot emphasise strongly enough that this is unacceptable behaviour and that the relevant Commissioner is well aware of our views.,view,views,false,I cannot emphasise strongly enough that this is unacceptable behaviour and that the relevant Commissioner is well aware of our ,.
"Madam President, Commissioner, ladies and gentlemen, it is one of Parliament 's prime functions to scrutinise and control the EU 's Budget, and, in doing this, greater attention urgently needs to be given to how the equal opportunities policy is to be financed in the European Social Fund 's 2000-2006 programming period.",function,functions,true,"Madam President, Commissioner, ladies and gentlemen, it is one of Parliament 's prime "," to scrutinise and control the EU 's Budget, and, in doing this, greater attention urgently needs to be given to how the equal opportunities policy is to be financed in the European Social Fund 's 2000-2006 programming period."
"Madam President, Commissioner, ladies and gentlemen, it is one of Parliament 's prime functions to scrutinise and control the EU 's Budget, and, in doing this, greater attention urgently needs to be given to how the equal opportunities policy is to be financed in the European Social Fund 's 2000-2006 programming period.",opportunity,opportunities,false,"Madam President, Commissioner, ladies and gentlemen, it is one of Parliament 's prime functions to scrutinise and control the EU 's Budget, and, in doing this, greater attention urgently needs to be given to how the equal ", policy is to be financed in the European Social Fund 's 2000-2006 programming period.
"The Spanish President of the Council, in his presentation to the committee, expressed the intention of giving equal opportunities policy a fixed place as a mainstream function in the complex of employment and social affairs.",intention,intention,true,"The Spanish President of the Council, in his presentation to the committee, expressed the ", of giving equal opportunities policy a fixed place as a mainstream function in the complex of employment and social affairs.
"The Spanish President of the Council, in his presentation to the committee, expressed the intention of giving equal opportunities policy a fixed place as a mainstream function in the complex of employment and social affairs.",opportunity,opportunities,false,"The Spanish President of the Council, in his presentation to the committee, expressed the intention of giving equal ", policy a fixed place as a mainstream function in the complex of employment and social affairs.
"That has also become a necessity, as the figures show that only 6% of the resources in the European Social Fund are allocated to special measures relating to equal opportunities, whereas Parliament had asked for 15%.",opportunity,opportunities,false,"That has also become a necessity, as the figures show that only 6% of the resources in the European Social Fund are allocated to special measures relating to equal ",", whereas Parliament had asked for 15%."
"Procedures for structural measures had to be rationalised and simplified, as they are too complex at both Community and national level, and we must now work on preventing the recurrence of such difficulties when the new programmes are to be set up in the future.",difficulty,difficulties,false,"Procedures for structural measures had to be rationalised and simplified, as they are too complex at both Community and national level, and we must now work on preventing the recurrence of such ", when the new programmes are to be set up in the future.
What particularly interests me in it is the reasons for the low take-up of the payment authorisations in the Budget year 2000.,reason,reasons,false,What particularly interests me in it is the , for the low take-up of the payment authorisations in the Budget year 2000.
"What is most important is that women play an important role in sustainable development, and gender issues should therefore be taken into account at every stage of planning, implementing and evaluating development cooperation.",issue,issues,false,"What is most important is that women play an important role in sustainable development, and gender "," should therefore be taken into account at every stage of planning, implementing and evaluating development cooperation."
"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU.",right,Rights,false,The Committee on Women 's ," and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU."
"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU.",opportunity,Opportunities,false,The Committee on Women 's Rights and Equal ," focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU."
"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU.",objective,objectives,false,"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the ", of equal opportunities policy to continue to be pursued in the EU.
"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal opportunities policy to continue to be pursued in the EU.",opportunity,opportunities,false,"The Committee on Women 's Rights and Equal Opportunities focuses on just a few Budget items, but they are all the more important for enabling the objectives of equal ", policy to continue to be pursued in the EU.
"Mr President, the EU 's institutions continue to provide opportunities for major irregularities in the conduct of financial affairs.",opportunity,opportunities,false,"Mr President, the EU 's institutions continue to provide ", for major irregularities in the conduct of financial affairs.
"The reason for these is still the weak points in the legislation, cooperation between national authorities that is poor or utterly lacking in coordination, and excessive laxity in monitoring and in imposing penalties.",reason,reason,true,The ," for these is still the weak points in the legislation, cooperation between national authorities that is poor or utterly lacking in coordination, and excessive laxity in monitoring and in imposing penalties."
This summer the Commission is due to publish its proposals for the mid-term review of the common agricultural policy. This was agreed in Berlin.,proposal,proposals,false,This summer the Commission is due to publish its , for the mid-term review of the common agricultural policy. This was agreed in Berlin.
"Suggestions, for example, that export refunds should be ended, would have disastrous consequences, particularly for Ireland where we export up to 90 percent of our entire agricultural production.",suggestion,Suggestions,true,,", for example, that export refunds should be ended, would have disastrous consequences, particularly for Ireland where we export up to 90 percent of our entire agricultural production."
